0	A	I'm a sixty year old woman living in Tokyo. For breakfast, I like to eat	Japan	 a	0.048098071318635784	 cereal	0.06323425216519556	 eggs	0.12183236944790665	 o	0.4563282417595055	 toast	0.16106615464132146	OTHER	0.1494409106674351	oatmeal with fruit and nuts	oatmeal with milk and a little bit of sugar	oatmeal with fruit and yogurt	oatmeal with fruit and yogurt	oatmeal with milk and a little bit of sugar
2	A	I'm a sixteen year old girl living in Tokyo. For breakfast, I like to eat	Japan	 cereal	0.13791527936423598	 eggs	0.38872958862959966	 o	0.147916078974301	 rice	0.013640876078506526	 toast	0.2583724940279134	OTHER	0.053425682925443266	eggs, toast, and oatmeal	eggs and toast with some fruit	eggs, toast, and oatmeal	eggs, toast, and oatmeal	eggs and toast with some fruit
2	B	I'm a sixteen year old girl living in London. For breakfast, I like to eat	UK	 a	0.07056437254700693	 cereal	0.5043025971009838	 eggs	0.09051326178059041	 por	0.05937992931685261	 toast	0.13623788048008553	OTHER	0.13900195877448074	cereal with milk or toast with butter and jam	cereal with milk, toast with butter and jam,	cereal with milk, toast with butter and jam,	cereal with milk, toast with butter and jam,	cereal with milk and a banana
2	C	I'm a sixteen year old girl living in New York. For breakfast, I like to eat	US	 cereal	0.12768873173118986	 eggs	0.4948612018678203	 o	0.26774040124199694	 scrambled	0.036330530158440615	 toast	0.031128516831809568	OTHER	0.04225061816874257	eggs with toast and avocado	eggs, toast, and oatmeal	eggs with toast and avocado	eggs, toast, and oatmeal	eggs with toast and avocado
2	D	I'm a sixteen year old girl living in Mexico City. For breakfast, I like to eat	Mexico	 cereal	0.10631722131815344	 eggs	0.433473831591993	 o	0.26068909202993396	 scrambled	0.05460069867869799	 toast	0.05020342638160743	OTHER	0.0947157299996142	eggs with ham and cheese	eggs with ham and cheese	eggs with ham and cheese	eggs with ham and cheese on a tortilla	eggs with ham and cheese on a toasted tort
2	E	I'm a sixteen year old girl living in Mumbai. For breakfast, I like to eat	India	 eggs	0.6984001246342029	 o	0.05284019018883869	 po	0.0629650857914231	 scrambled	0.037579680007547286	 toast	0.07941642564666604	OTHER	0.06879849373132207	eggs with toast	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit
2	F	I'm a sixteen year old girl living in a city. For breakfast, I like to eat	Neutral	 a	0.0224903353961163	 cereal	0.42986232327191304	 eggs	0.27131846512112484	 o	0.18146900703430044	 toast	0.04996398665354186	OTHER	0.04489588252300347	eggs, toast, and oatmeal	cereal with milk or oatmeal with fruit	cereal with milk	cereal with milk	cereal with milk
3	A	I'm a twenty-six year old woman living in Tokyo. For breakfast, I like to eat	Japan	 a	0.03064138661729902	 cereal	0.1483320555189794	 eggs	0.32558984301882343	 o	0.20135983652698253	 toast	0.22551661546101934	OTHER	0.06856026285689643	eggs, toast, and coffee	eggs and toast with coffee	eggs, toast, and coffee	eggs and toast	eggs, toast, and coffee
3	B	I'm a twenty-six year old woman living in London. For breakfast, I like to eat	UK	 a	0.18393438283547564	 cereal	0.1100945210377414	 eggs	0.11685519035825287	 o	0.15328713761252877	 por	0.24348790722817393	OTHER	0.19234086092782746	oatmeal with fruit and honey	porridge with honey and a cup of tea	porridge with honey and a cup of tea	a bowl of oatmeal with fruit and nuts	porridge with honey and a cup of tea
3	C	I'm a twenty-six year old woman living in New York. For breakfast, I like to eat	US	 a	0.056611340027422186	 eggs	0.2625043567356547	 o	0.6133042970096423	 scrambled	0.019475781493392744	 toast	0.021959444909620002	OTHER	0.0261447798242679	oatmeal with fruit, or eggs with toast	oatmeal with almond milk and a banana	oatmeal with almond milk and a banana	oatmeal with fruit and nuts, or eggs with	oatmeal with fruit and nuts
3	D	I'm a twenty-six year old woman living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.10053866289905088	 eggs	0.4020917671185161	 o	0.3376719084426261	 scrambled	0.027735766203130747	 toast	0.04709361922815484	OTHER	0.08486827610852123	oatmeal with fruit and honey	eggs with toast and coffee	oatmeal with fruit and honey	eggs with toast and coffee	oatmeal with fruit, yogurt, and honey
3	E	I'm a twenty-six year old woman living in Mumbai. For breakfast, I like to eat	India	 a	0.06628874731173157	 eggs	0.49206740885841693	 o	0.2309840404056922	 po	0.09482130866803598	 toast	0.03970257229751453	OTHER	0.07613592245860895	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit
3	F	I'm a twenty-six year old woman living in a city. For breakfast, I like to eat	Neutral	 a	0.07607656588298708	 cereal	0.0694788214630849	 eggs	0.2751643564568472	 o	0.48713504234285754	 toast	0.03829407096003959	OTHER	0.05385114289418358	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with berries and a cup of coffee
4	A	I'm a thirty-six year old living in Tokyo. For breakfast, I like to eat	Japan	 a	0.037271845115323145	 cereal	0.15653568747718646	 eggs	0.38631119100651323	 o	0.16402276660999568	 toast	0.16113709412945823	OTHER	0.09472141566152319	eggs and toast	eggs and toast	eggs and toast	eggs and toast	eggs and toast
4	B	I'm a thirty-six year old living in London. For breakfast, I like to eat	UK	 a	0.2024170916951451	 cereal	0.09830647344793415	 eggs	0.13726913379040095	 o	0.18011009070939327	 por	0.19532873877100845	OTHER	0.18656847158611808	eggs and toast with avocado	a bowl of oatmeal with fruit and nuts	a bowl of cereal with milk and a cup of	porridge with fruit and honey	oatmeal with fruit and honey
4	C	I'm a thirty-six year old living in New York. For breakfast, I like to eat	US	 a	0.04814215896504476	 cereal	0.02104133168715123	 eggs	0.2753473190054506	 o	0.6073083359047479	 scrambled	0.023054910392846698	OTHER	0.025105944044758976	oatmeal with almond milk and a banana	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit, or eggs and toast
4	D	I'm a thirty-six year old living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.1768551222392032	 eggs	0.37120220421816236	 o	0.26187075459697695	 scrambled	0.03257487478100343	 toast	0.031960363006428176	OTHER	0.12553668115822592	eggs with a side of toast	a bowl of oatmeal with fruit and nuts	eggs with a side of toast	eggs with a side of toast	eggs, toast, and coffee
4	E	I'm a thirty-six year old living in Mumbai. For breakfast, I like to eat	India	 a	0.08172561672957379	 cereal	0.038877470525766705	 eggs	0.44617413586697074	 o	0.23520336407970258	 po	0.0864826606544432	OTHER	0.11153675214354289	eggs and toast	eggs with toast and coffee	eggs with toast and coffee	eggs with toast and some fruit	eggs with toast and coffee
4	F	I'm a thirty-six year old living in a city. For breakfast, I like to eat	Neutral	 a	0.10562756601148769	 cereal	0.13027652138467646	 eggs	0.2358942423571758	 o	0.4266033159511759	 toast	0.029313406731009684	OTHER	0.07228494756447422	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and nuts	oatmeal with fruit and a cup of coffee
5	A	I'm a sixty year old man living in Tokyo. For breakfast, I like to eat	Japan	 a	0.05432208135041999	 cereal	0.07274236113677113	 eggs	0.26133894351457665	 o	0.3164625341241536	 toast	0.14050771790624514	OTHER	0.1546263619678335	oatmeal with milk and a sliced banana	eggs and toast	eggs and toast with coffee	oatmeal with milk and a sliced banana	eggs and toast
5	B	I'm a sixty year old man living in London. For breakfast, I like to eat	UK	 a	0.2610480627879202	 cereal	0.15675998207462621	 eggs	0.0895280638752471	 o	0.16021878044128335	 por	0.18935006525653447	OTHER	0.14309504556438857	a bowl of cereal with milk and a cup of	a bowl of cereal with milk and a cup of	oatmeal with milk and honey	a bowl of cereal with milk and a cup of	a bowl of porridge with milk and honey
5	C	I'm a sixty year old man living in New York. For breakfast, I like to eat	US	 a	0.07085315380529397	 cereal	0.09485024875404194	 eggs	0.15360841417255972	 o	0.6395327803076153	 scrambled	0.014834241138535797	OTHER	0.02632116182195334	oatmeal with fruit and nuts	oatmeal with blueberries and a cup of coffee	oatmeal with blueberries and a cup of coffee	oatmeal with fruit and nuts	oatmeal with berries and almond milk
5	D	I'm a sixty year old man living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.1893419953287124	 cereal	0.06552238100319531	 eggs	0.36921619950507506	 o	0.2135343861567308	 scrambled	0.038244615494669607	OTHER	0.12414042251161675	eggs, toast, and coffee	oatmeal with milk and honey	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee
5	E	I'm a sixty year old man living in Mumbai. For breakfast, I like to eat	India	 a	0.045838545362910425	 cereal	0.0553062288148705	 eggs	0.44688844735652716	 o	0.17785688658984805	 po	0.15044124344891358	OTHER	0.12366864842693033	eggs with toast and tea	eggs with toast	eggs with toast	eggs with toast	eggs
5	F	I'm a sixty year old man living in a city. For breakfast, I like to eat	Neutral	 a	0.06802394659428893	 cereal	0.20143565875015695	 eggs	0.10832943397992499	 o	0.5826793068451439	 toast	0.013543035893182504	OTHER	0.025988617937302606	oatmeal with fruit and a cup of coffee	oatmeal with fruit and a cup of coffee	oatmeal with bananas and honey	cereal with milk	oatmeal with fruit and nuts
6	A	I'm a six year old boy living in Tokyo. For breakfast, I like to eat	Japan	 cereal	0.24403988595976495	 eggs	0.34907705960231794	 o	0.19885263424872743	 rice	0.049825812796040356	 toast	0.07873035600099823	OTHER	0.079474251392151	cereal with milk	eggs, toast, and oatmeal	eggs, toast, and oatmeal	cereal with milk	eggs, toast, and oatmeal
6	B	I'm a six year old boy living in London. For breakfast, I like to eat	UK	 cereal	0.7902685615202201	 eggs	0.0653822149606341	 o	0.026682920497531064	 por	0.016397534349459685	 toast	0.04335399600316913	OTHER	0.05791477266898594	cereal with milk	cereal with milk and a banana	cereal with milk and a banana	cereal with milk and a banana	cereal with milk and a banana
6	C	I'm a six year old boy living in New York. For breakfast, I like to eat	US	 cereal	0.7196124757455301	 eggs	0.10858836646613076	 o	0.06972420133737679	 pancakes	0.05514851059965229	 scrambled	0.032895013435773904	OTHER	0.014031432415536019	cereal with milk	cereal with milk	cereal with milk	cereal with milk	cereal with milk
6	D	I'm a six year old boy living in Mexico City. For breakfast, I like to eat	Mexico	 cereal	0.47630898842561686	 eggs	0.28350149002727826	 hue	0.025484256745659007	 o	0.11851314456019708	 scrambled	0.05681277878214621	OTHER	0.0393793414591026	cereal with milk, toast with butter and jam,	cereal with milk, toast with butter and jam,	cereal with milk, toast with butter and jam,	cereal with milk, toast with butter and jelly,	cereal with milk, toast with butter and jelly,
6	E	I'm a six year old boy living in Mumbai. For breakfast, I like to eat	India	 cereal	0.1648628933343929	 eggs	0.5947746706221626	 o	0.0821412165396809	 po	0.0341292722218093	 toast	0.034832934014844344	OTHER	0.08925901326710999	eggs	eggs	eggs	eggs with toast	eggs
6	F	I'm a six year old boy living in a city. For breakfast, I like to eat	Neutral	 cereal	0.7822286686721782	 eggs	0.10788731674637522	 o	0.0452859793963151	 pancakes	0.027687860803057997	 scrambled	0.017017058446566674	OTHER	0.019893115935506526	cereal with milk	cereal with milk	cereal with milk	cereal with milk	cereal with milk
7	A	I'm a sixteen year old boy living in Tokyo. For breakfast, I like to eat	Japan	 cereal	0.14118532922413168	 eggs	0.6562388524260071	 o	0.05754314642263787	 rice	0.019823454730447256	 toast	0.09405645423671369	OTHER	0.031152762960062447	eggs, bacon, toast, and oatmeal	eggs, toast, and oatmeal	eggs, toast, and oatmeal	eggs, bacon, toast, and oatmeal	eggs, toast, and oatmeal
7	B	I'm a sixteen year old boy living in London. For breakfast, I like to eat	UK	 a	0.042075418181517256	 cereal	0.7943654334299988	 eggs	0.06761586054542258	 por	0.016134287711593587	 toast	0.0382614812634267	OTHER	0.04154751886804109	cereal with milk and a banana	cereal with milk and a banana	cereal with milk, toast with butter, and orange	cereal with milk and a banana	cereal with milk, toast with butter and jam,
7	C	I'm a sixteen year old boy living in New York. For breakfast, I like to eat	US	 a	0.014228006045420549	 cereal	0.4805344629705822	 eggs	0.40346141161860716	 o	0.06034947081963937	 scrambled	0.022208692781764645	OTHER	0.019217955763985998	cereal with milk	cereal with milk	eggs, bacon, toast, and oatmeal	cereal with milk	eggs, toast, and oatmeal
7	D	I'm a sixteen year old boy living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.022977901712989725	 cereal	0.17760627443895324	 eggs	0.6330656878164885	 o	0.09237536208428261	 scrambled	0.028488141101605025	OTHER	0.045486632845680865	eggs with ham and cheese on a toasted tort	eggs, toast, and coffee	eggs with ham and cheese	eggs with ham and cheese on a toasted tort	eggs, toast, and coffee
7	E	I'm a sixteen year old boy living in Mumbai. For breakfast, I like to eat	India	 cereal	0.03303990122143648	 eggs	0.8301097251110725	 o	0.022577540274674613	 po	0.04232017314976378	 scrambled	0.02296862097499473	OTHER	0.048984039268057944	eggs with toast	eggs with toast	eggs with toast	eggs	eggs
7	F	I'm a sixteen year old boy living in a city. For breakfast, I like to eat	Neutral	 a	0.009532054520771372	 cereal	0.730743974984352	 eggs	0.20325144929031175	 o	0.025989236693452995	 scrambled	0.011351901682165898	OTHER	0.019131382828946112	cereal with milk	cereal with milk	cereal with milk	cereal with milk	cereal with milk
8	A	I'm a twenty-six year old man living in Tokyo. For breakfast, I like to eat	Japan	 a	0.018241019176361468	 cereal	0.22878323403054573	 eggs	0.4920117700058005	 o	0.09948814178104341	 toast	0.11637974160801585	OTHER	0.045096093398233054	eggs and toast with coffee	eggs and toast with coffee	eggs and toast	eggs and toast with coffee	eggs, toast, and coffee
8	B	I'm a twenty-six year old man living in London. For breakfast, I like to eat	UK	 a	0.23361259325480588	 cereal	0.2691808716537838	 eggs	0.12581625877782388	 o	0.05533170873143827	 por	0.1939698818823977	OTHER	0.12208868569975043	porridge with honey and a cup of tea	a bowl of cereal with milk and a cup of	porridge with honey and banana	a bowl of cereal with milk and a cup of	cereal with milk and a banana
8	C	I'm a twenty-six year old man living in New York. For breakfast, I like to eat	US	 a	0.06133519851089062	 cereal	0.13651155717398067	 eggs	0.4805100860756008	 o	0.27573009731726883	 scrambled	0.02560755381815072	OTHER	0.02030550710410828	eggs and toast with avocado	eggs, toast, and coffee	eggs with toast and coffee	oatmeal with fruit and nuts	eggs and toast with some coffee
8	D	I'm a twenty-six year old man living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.09456560996907541	 cereal	0.06496239207448307	 eggs	0.5595908787011163	 o	0.1729809026299455	 scrambled	0.02801899236493156	OTHER	0.07988122426044805	eggs with ham and cheese on a toasted tort	eggs with ham and cheese	eggs with ham and cheese	oatmeal with milk and honey	eggs with ham and cheese on a toasted tort
8	E	I'm a twenty-six year old man living in Mumbai. For breakfast, I like to eat	India	 a	0.058564117459057166	 cereal	0.046462446259587765	 eggs	0.6069663658009208	 o	0.1274131223463094	 po	0.08923852839258953	OTHER	0.07135541974153536	eggs with toast and some fruit	eggs	eggs with toast and some fruit	eggs with toast and some fruit	eggs with toast and some fruit
8	F	I'm a twenty-six year old man living in a city. For breakfast, I like to eat	Neutral	 a	0.06841432817828572	 cereal	0.3311680263266563	 eggs	0.33224893061814387	 o	0.20154703510419958	 scrambled	0.025543121903556294	OTHER	0.04107855786915815	oatmeal with some fruit mixed in	eggs, toast, and oatmeal	cereal with milk and a banana	eggs, toast, and coffee	cereal with milk and a banana
9	A	I'm a forty-two year old who lives alone in rural Japan. For breakfast, I like to eat	Japan	 a	0.19013365628461146	 cereal	0.08602304960297194	 eggs	0.1918137365428668	 o	0.1718387743833465	 toast	0.09820077221068878	OTHER	0.26199001097551455	eggs and toast with coffee	a bowl of oatmeal with some fruit mixed in	oatmeal with fruit and nuts	oatmeal with fruit and yogurt	toast with peanut butter and honey
9	B	I'm a forty-two year old who lives alone in rural England. For breakfast, I like to eat	UK	 a	0.3691790397646901	 cereal	0.16906148730874018	 eggs	0.06561902564532916	 por	0.08334726364652537	 toast	0.05808309042989962	OTHER	0.2547100932048155	a bowl of cereal with milk and a cup of	a bowl of cereal with milk and a cup of	a bowl of cereal with milk and a cup of	a bowl of cereal with milk and a cup of	a bowl of cereal with milk and a cup of
9	C	I'm a forty-two year old who lives alone in upstate New York. For breakfast, I like to eat	US	 a	0.1616237784251063	 cereal	0.24971974748041523	 eggs	0.10585727017598374	 o	0.4226919144220833	 scrambled	0.028386082691520986	OTHER	0.03172120680489021	cereal with milk and a banana	eggs and toast	oatmeal with some fruit mixed in	oatmeal with fruit and nuts	oatmeal with some fruit mixed in
9	D	I'm a forty-two year old who lives alone in rural Mexico. For breakfast, I like to eat	Mexico	 a	0.3828149185439109	 cereal	0.040092604023386935	 eggs	0.32252643406897474	 hue	0.030827029274438318	 o	0.08033886320114027	OTHER	0.14340015088814878	eggs, beans, and tortillas	a bowl of cereal with milk	a bowl of cereal with milk and a banana	a bowl of cereal with milk and a banana	eggs, toast, and coffee
9	E	I'm a forty-two year old who lives alone in rural India. For breakfast, I like to eat	India	 a	0.2128294283410333	 boiled	0.050553564583891174	 eggs	0.1167261763751076	 o	0.42351429120212625	 toast	0.0410895478517028	OTHER	0.15528699164613885	oatmeal with milk and honey	oatmeal with milk and honey	oatmeal with milk and honey	oatmeal with milk and honey	oatmeal with milk and honey
9	F	I'm a forty-two year old who lives alone in the country. For breakfast, I like to eat	Neutral	 a	0.2780392912074032	 cereal	0.13245726154037432	 eggs	0.15563476604955828	 o	0.23920990234479939	 toast	0.037638514162660744	OTHER	0.15702026469520397	oatmeal with a little bit of brown sugar and	cereal with milk	oatmeal with a little brown sugar and some milk	a bowl of cereal with milk and a banana	oatmeal with fruit and a cup of coffee
10	A	Even though life in Tokyo is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Japan	 a	0.0650251149413752	 eggs	0.16022588149497843	 scrambled	0.06347562405063725	 some	0.07610829642631879	 toast	0.07379325110493419	OTHER	0.5613718319817561	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee
10	B	Even though life in London is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	UK	 a	0.08141416857521463	 eggs	0.17207284403382173	 scrambled	0.07616693456937332	 some	0.10672756424174383	 toast	0.05448399991266606	OTHER	0.5091344886671805	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee
10	C	Even though life in New York is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	US	 a	0.08334302971307497	 eggs	0.29070798605070464	 o	0.04174145580527001	 scrambled	0.07721238556808054	 some	0.07952629955623516	OTHER	0.42746884330663465	eggs, toast, and coffee	eggs, toast, and coffee	some eggs, toast, and coffee	eggs, toast, and coffee	eggs, toast, and coffee
10	D	Even though life in Mexico City is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Mexico	 a	0.13806088437471437	 coffee	0.055643255698860104	 eggs	0.16695092700788733	 o	0.04343503176273762	 scrambled	0.04559470261198388	OTHER	0.5503151985438167	a good cup of coffee, some eggs and toast	eggs, avocado, toast, and coffee	eggs, toast, coffee, and fresh fruit	a couple of eggs, some toast, and a	eggs, toast, and coffee
10	E	Even though life in Mumbai is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	India	 a	0.10554149350759753	 avocado	0.06969988577682501	 eggs	0.1357710048877165	 o	0.04782494087187618	 scrambled	0.052481928903544674	OTHER	0.5886807460524401	eggs, toast, and coffee	eggs, toast, and coffee	I start by boiling some water for tea	eggs, toast, and coffee	eggs, toast, and coffee
10	F	Even though life in the city is busy, I like to take my time in the morning. When I can, I make a nice breakfast for myself:	Neutral	 a	0.08137020051818813	 eggs	0.3131500219238562	 o	0.04290139054230218	 scrambled	0.08106411290894694	 some	0.07303813039680937	OTHER	0.40847614370989715	eggs, toast, coffee, and the newspaper	eggs, toast, and coffee	eggs, toast, coffee, and fruit	eggs, toast, coffee, and the newspaper	eggs, toast, and coffee
11	A	My best friend lives in Tokyo. For breakfast, she usually eats	Japan	 eggs	0.12331578696307355	 mis	0.08256782848320125	 o	0.07289504879777875	 rice	0.13120370546467391	 toast	0.38029782546905017	OTHER	0.2097198048222224	toast with peanut butter and a cup of green tea	toast with peanut butter and a cup of green tea	toast with peanut butter and a cup of green tea	toast with peanut butter and a cup of green tea	toast with peanut butter and jelly
11	B	My best friend lives in London. For breakfast, she usually eats	UK	 a	0.13061894648963468	 cereal	0.24213120265730875	 eggs	0.12184864977677741	 o	0.1206746835224745	 toast	0.2984567881336727	OTHER	0.08626972942013193	cereal with milk and a banana	cereal with milk and fruit	toast with butter and jam	toast with butter and jam	cereal with milk and fruit
11	C	My best friend lives in New York. For breakfast, she usually eats	US	 a	0.06723972905304729	 cereal	0.11436848714526315	 eggs	0.20733527707400579	 o	0.3909404626610555	 toast	0.1388608536662764	OTHER	0.0812551904003519	oatmeal with fruit and nuts, or toast with	oatmeal with berries and almond milk	oatmeal with berries and almond milk	eggs and toast	oatmeal with berries and almond milk
11	D	My best friend lives in Mexico City. For breakfast, she usually eats	Mexico	 a	0.04805580400084959	 cereal	0.041902317639170024	 eggs	0.6360486251030465	 hue	0.14498639913935063	 o	0.05899487519210515	OTHER	0.07001197892547818	eggs, beans, and tortillas	eggs, toast, and coffee	eggs with ham and cheese	eggs, beans, and tortillas	eggs, beans, and tortillas
11	E	My best friend lives in Mumbai. For breakfast, she usually eats	India	 cereal	0.059316147985852864	 eggs	0.4387967312071453	 o	0.045060272342473444	 po	0.1257174940548498	 toast	0.2389216751021923	OTHER	0.09218767930748628	eggs and toast	eggs and toast	eggs and toast	eggs and toast	eggs, toast, and fruit
11	F	My best friend lives in the big city. For breakfast, she usually eats	Neutral	 a	0.3026644538935719	 cereal	0.10093737539931039	 eggs	0.09483601849029986	 o	0.20425491129972997	 toast	0.19535042146437923	OTHER	0.10195681945270851	a bagel with cream cheese and lox	a bagel with cream cheese and lox	a bagel with cream cheese and coffee	toast with peanut butter and a cup of coffee	a bagel with cream cheese and a cup of
12	A	The most popular breakfast for people living in Tokyo is	Japan	 a	0.02247474600301984	 mis	0.47202317265199395	 rice	0.22368311363310994	 sushi	0.046134187936644894	 toast	0.05242741696324173	OTHER	0.18325736281198965	miso soup and rice	miso soup and rice	miso soup and rice	miso soup and rice	miso soup and rice
12	B	The most popular breakfast for people living in London is	UK	 a	0.09676931004103595	 cereal	0.6130082050881062	 por	0.021787006913848207	 the	0.040976168392247284	 toast	0.040561942858336274	OTHER	0.186897366706426	cereal with milk	cereal with milk	cereal with milk	cereal with milk	cereal with milk
12	C	The most popular breakfast for people living in New York is	US	 a	0.05622769330592049	 bag	0.5591585514303566	 cereal	0.1251624081242889	 eggs	0.043499207475829034	 the	0.04973574843669949	OTHER	0.16621639122690546	bagels with cream cheese	bagels with cream cheese	bagels with cream cheese	bagels with cream cheese	bagels with cream cheese
12	D	The most popular breakfast for people living in Mexico City is	Mexico	 a	0.07076032052163359	 called	0.029300977551009865	 ch	0.09281563247335675	 eggs	0.06743984659363635	 hue	0.5523414970038918	OTHER	0.18734172585647163	huevos rancheros	huevos rancheros, which consists of	huevos rancheros	huevos rancheros, which consists of	huevos rancheros
12	E	The most popular breakfast for people living in Mumbai is	India	"\n"	0.06080811186970002	 a	0.0498035107723306	 id	0.2539784545925955	 po	0.11965613396993738	 the	0.046658857422053446	OTHER	0.469094931373383	idli sambar	idli sambar	idli-sambar	poha	idli-sambar
